radiusServerIpAddress;wireless;RADIUS server IP address;عنوان ال IP لخادم ال RADIUS;Adresse IP du serveur RADIUS ;;;;;;;;;
radiusPort;wireless;RADIUS port;منفذ ال RADIUS;Port RADIUS;;;;;;;;;
radiusKey;wireless;RADIUS key;مفتاح ال RADIUS;Clé RADIUS ;;;;;;;;;
WEPencryption;NTC-GUI wireless;WEP encryption;تشفير WEP;Chiffrement WEP;;;;;;;;;
currentNetworkKey;wireless;Current network key;مفتاح الشبكة الحالية;Clé du réseau actuel;;;;;;;;;
networkKey;wireless;Network key;مفتاح الشبكة ;Clé du réseau;;;;;;;;;
Msg55;wireless;Enter 13 ASCII characters or 26 hexadecimal digits for 128-bit encryption keys;أدخل 13 حرف آسكي أو 26 رقم سداسي عشري لمفاتيح التشفير 128 بت;Entrez 13 caractères ASCII ou 26 chiffres hexadécimaux pour les clés de chiffrement à 128 bits.;;;;;;;;;
Msg56;wireless;Enter 5 ASCII characters or 10 hexadecimal digits for 64-bit encryption keys;أدخل 5 أحرف آسكي أو 10 أرقام سداسية عشرية لمفاتيح التشفير 64 بت;Entrez 5 caractères ASCII ou 10 chiffres hexadécimaux pour les clés de chiffrement à 64 bits.;;;;;;;;;
Msg60;wireless NTC-GUI;Enter 10 hexadecimal digits for 64-bit encryption keys or 26 hexadecimal digits for 128-bit encryption keys.;أدخل 10 أرقام ست عشرية لمفاتيح تشفير 64 بت أو 26 أرقام ست عشرية لمفاتيح تشفير 128 بت;Entrez 10 chiffres hexadécimaux pour les clés de cryptage 64 bits ou 26 chiffres hexadécimaux pour les clés de cryptage 128-bit.;;;;;;;;;
dhcp warningMsg01;internet;is not a valid IP address. Please try again.;ليس عنوان IP صالح;n'est pas une adresse IP valide.;;;;;;;;;
dhcp warningMsg02;internet;You have entered the DHCP start address incorrectly. Please try again.;خطأ: عنوان بداية ال DHCP غير مدخل بشكل صحيح;Erreur : l'adresse de démarrage DHCP a été entrée de manière incorrecte.;;;;;;;;;
dhcp warningMsg03;internet;You have entered the DHCP end address incorrectly. Please try again.;خطأ: عنوان نهاية ال DHCP غير مدخل بشكل صحيح;Erreur : l'adresse de fin DHCP a été entrée de manière incorrecte.;;;;;;;;;
dhcp warningMsg04;internet;You must enter a lease time. Please try again.;خطأ: لم يتم إدخال وقت تأجير;Erreur : aucune durée du bail saisie;;;;;;;;;
dhcp warningMsg05;internet;You have entered the DNS 1 address incorrectly. Please try again.;خطأ: عنوان DNS 1 غير مدخل بشكل صحيح;Erreur : adresse DNS 1 entrée de manière incorrecte.;;;;;;;;;
dhcp warningMsg06;internet;You have entered the DNS 2 address incorrectly. Please try again.;خطأ: عنوان DNS 2 غير مدخل بشكل صحيح;Erreur : adresse DNS 2 entrée de manière incorrecte.;;;;;;;;;
dhcp warningMsg07;internet;You have entered the DHCP server address incorrectly. Please try again.;خطأ: عنوان خادم ال DHCP غير مدخل بشكل صحيح;Erreur : adresse du serveur DHCP entrée de manière incorrecte.;;;;;;;;;
dhcp warningMsg08;internet;You have entered the NTP server (option 42) address incorrectly. Please try again.;خطأ: عنوان خادم ال NTP (خيار 42) غير مدخل بشكل صحيح;Erreur : adresse du serveur NTP (Option 42) entrée de manière incorrecte.;;;;;;;;;
dhcp warningMsg09;internet;There's a conflict with the IP address ;هناك تعارض مع عنوان بروتوكول الإنترنت;Il y a un conflit avec cette adresse IP.;;;;;;;;;IPアドレスが競合しています
dhcp warningMsg10;internet;Please choose a different IP and try again;الرجاء اختيار عنوان IP مختلف. لم يتم حفظ التغييرات.;Veuillez choisir une autre adresse IP. Les changements ne sont pas sauvegardés.;;;;;;;;;違うIPを選択して、設定して下さい
dhcp warningMsg11;admin internet wireless;You must enter a value between 0 and 255. Please try again.;ليس مدخل صحيح. الرجاء تحديد قيمة بين 0 و 255;Entrée invalide. Veuillez préciser une valeur entre 0 et 255.;;;;;;;;;0～255の範囲内の値を入力して下さい
dhcp warningMsg12;admin internet wireless;You must enter a value between 1 and 223. Please try again.;ليس مدخل صحيح. الرجاء تحديد قيمة بين 1 و 223;Entrée invalide. Veuillez préciser une valeur entre 1 et 223.;;;;;;;;;1～233の範囲内の値を入力して下さい
dhcp warningMsg13;admin internet wireless;An IP address can't start with 127. Please try another value between 1 and 223.;عناوين بروتوكول الإنترنت التي تبدأ ب 127 هي غير صالحة لأنها محفوظة لعنوان الإسترجاع. الرجاء تحديد قيمة أخرى صالحة بين 1 و 223;Les adresses IP commençant par 127 ne sont pas valides car elles sont réservées pour  l'adresse de bouclage. Veuillez préciser une autre valeur entre 1 et 223.;;;;;;;;;127で始まるIPアドレスは使用できません。1～223の範囲内で他の値を設定して下さい
dhcp warningMsg14;internet;The DHCP start address must be inside the LAN IP subnet range. Please try again.;;Erreur : L'adresse de début DHCP doit être à l'intérieur de la gamme sous-réseau IP LAN.;;;;;;;;;指定するDHCP開始アドレスはLANのサブネット範囲内で無ければ成りません。再設定して下さい
dhcp warningMsg15;internet;The DHCP end address must be inside the LAN IP subnet range. Please try again.;;Erreur : L'adresse de fin DHCP doit être dans la fourchette LAN sous-réseau IP.;;;;;;;;;指定するDHCP終端アドレスはLANのサブネット範囲内で無ければ成りません。再設定して下さい
dhcp warningMsg16;firewall internet main TELUS-GUI;The IP address must be inside the IP subnet range. Please try again.;خطأ: عنوان IP يجب أن يكون داخل نطاق الشبكة الفرعية IP.;Erreur: L'adresse IP doit être à l'intérieur de la gamme de sous-réseau IP.;;;;;;;;;指定するIPアドレスはIPサブネット範囲内で無ければ成りません。再設定して下さい
dhcp allitems;internet;All Items;جميع البنود;Tous les articles;;;;;;;;;
dhcp relay config;internet;DHCP relay configuration;إعداد مرحل ال DHCP;Configuration du relais du DHCP;;;;;;;;;DHCPリレー設定
dhcp dynamic clist;internet;DHCP Client List;DHCP عميل قائمة;Liste de client DHCP;;;;;;;;;
dns1ip;internet;DNS server 1 IP address;عنوان ال IP  لخادم ال DNS 1;Adresse IP du serveur 1 DNS;;;;;;;;;DNSサーバ1 IPアドレス
dns2ip;internet;DNS server 2 IP address;عنوان ال IP  لخادم ال DNS 2;Adresse IP du serveur 2 DNS;;;;;;;;;DNSサーバ2 IPアドレス
dhcp relay;internet;DHCP relay;مرحل ال DHCP;Relais du DHCP;;;;;;;;;DHCPリレー
dhcp serveraddr;internet;DHCP server address;عنوان خادم ال DHCP;Adresse du serveur DHCP;;;;;;;;;DHCPサーバアドレス
wlan warningMsg10;wireless;Guest SSID should not be empty.;ال SSID الضيف يجب أن لا تكون فارغة;La SSID d'invité ne devrait pas être vide.;;;;;;;;;
wlan warningMsg11;wireless;WPA Network Re-authentication Interval should be between 0 and 4294967295.;فترة ال WPA لإعادة مصادقة الشبكة يجب أن تكون بين 0 و 4294967295.;L'intervalle de réauthentification du réseau WPA doit être compris entre 0 et 4294967295.;;;;;;;;;
wlan warningMsg12;wireless;Cannot choose key that has empty value.;لا يمكن إختيار مفتاح له قيمة فارغة;Impossible de choisir une clé qui a une valeur vide.;;;;;;;;;
pkg manager;main admin;Package manager;مدير الحزمة;Gestionnaire de progiciel;Package Manager;;;;;;;;パッケージマネージャ
pkg manager;spec_vdf;Software applications manager;مدير الحزمة;Gestionnaire de progiciel;;;;;;;;;パッケージマネージャ
firmwareSignature;spec_vdf;Firmware signature;;;;;;;;;;;
wlan warningMsg13;wireless;Please enter 13 ASCII characters or 26 hexadecimal digits for a 128-bit WEP encryption key.;الرجاء أدخل 13 حرف آسكي أو 26 رقم سداسي عشري لمفتاح تشفير من النوع WEP بطول 128 بت;Entrez 13 caractères ASCII ou 26 chiffres hexadécimaux pour les clés de chiffrement à 128 bit ;;;;;;;;;
wlan warningMsg14;wireless;Please enter 5 ASCII characters or 10 hexadecimal digits for a 64-bit WEP encryption key.;الرجاء إدخال 5 أسكي حرفا أو 10 أرقام ست عشرية للحصول على مفتاح  تشفير  64 بت الارشاد.;Entrez 5 caractères ASCII ou 10 chiffres hexadécimaux pour les clés de chiffrement à 64 bits.;;;;;;;;;
wlan warningMsg15;admin;Hotspot Password must at least 4 digits long!;يجب صديق كلمة السر ما لا يقل عن  4 أرقام طويلة!;Le mot de passe du point d'accès WiFi doit comporter au minimum 4 chiffres!;;;;;;;;;
3gipfwmode header;main;MBB IP Forwarding Mode Enabled;تم تفعيل وضع إعادة توجيه ال IP ل MBB;Mode de réacheminement des messages IP en MBB inactif;;;;;;;;;
3gipfwmode title;main;MBB IP Forwarding Mode;وضع إعادة توجيه ال IP ل MBB;Mode de réacheminement des messages IP en MBB.;;;;;;;;;
3gipfwmode description;main;The requested feature is not available in MBB IP Forwarding mode.;الميزة المطلوبة غير متاحة في وضع إعادة توجيه ال IP ل MBB;La fonction demandée n'est pas disponible en mode de réacheminement des messages IP en MBB.;;;;;;;;;
moduleInformation;admin;Module Information;معلومات الوحدة;Informations sur le module;;;;;;;;;
monitor intro2;admin;The periodic Ping function will regularly check the internet connection. If the failure count is exceeded, the device will reset the MBB connection. You also can choose Periodic Reboot to reboot the router from this page.;وظيفة ال Ping الدورية هي التحقق من الإتصال مع الإنترنت بشكل منتظم. إذا تم تجاوز عداد الفشل سيقوم الجهاز بإعادة ضبط إتصال ال MBB. بإمكانك أيضا إختيار إعادة التشغيل الدوري لإعادة تشغيل الراوتر من هذه الصفحة;La fonction de Ping périodique permettra de vérifier régulièrement l'état de la connexion Internet. Si le nombre de défaillances excède les paramètres spécifiés ci-dessous, la connexion au réseau MBB sera réinitialisée automatiquement. Vous pouvez aussi configurer une réinitialisation périodique forcée de la connexion MBB si vous le désirez.;;;;;;;;;
man warningMsg1;admin;Please specify the administrator account.;الرجاء تحديد حساب المدير;Veuillez spécifier le compte administrateur.;;;;;;;;;
man warningMsg6;admin TELUS-GUI;Please specify account, password, and hostname.;الرجاء تحديد الحساب، كلمة السر، و خادم اسم المجال الديناميكي.;Veuillez spécifier le compte, le mot de passe et le nom de l’hôte.;;;;;;;;;
man ntp mid island;NTC-GUI TELUS-GUI admin;(GMT-11:00) Midway Island, Samoa;(GMT-11:00) جزيرة ميدواي، ساموا;(GMT-11:00) Atoll de Midway, Samoa;;;;;;;;;
man ntp pakistan;NTC-GUI TELUS-GUI admin;(GMT+05:00) Pakistan, Russia;(GMT+05:00) باكستان، روسيا;(GMT+05:00) Pakistan, Russie;;;;;;;;;
man ntp bangladesh;NTC-GUI TELUS-GUI admin;(GMT+06:00) Bangladesh, Russia;(GMT+06:00) بنغلادش، روسيا;(GMT+06:00) Bangladesh, Russie;;;;;;;;;
man ntp thailand;NTC-GUI TELUS-GUI admin;(GMT+07:00) Thailand, Russia;(GMT+07:00) تايلند، روسيا;(GMT+07:00) Thailande, Russie;;;;;;;;;
man ntp chinacoast;NTC-GUI TELUS-GUI admin;(GMT+08:00) China Coast, Hong Kong;(GMT+08:00) ساحل الصين، هونج كونج;(GMT+08:00) Côte chinoise, Hong Kong;;;;;;;;;
man ntp japan;NTC-GUI TELUS-GUI admin;(GMT+09:00) Japan, Korea;(GMT+09:00) اليابان، كوريا;(GMT+09:00) Japon, Corée;;;;;;;;;
man ntp guam;NTC-GUI TELUS-GUI admin;(GMT+10:00) Guam, Russia;(GMT+10:00) غوام، روسيا;(GMT+06:00) Guam, Russie;;;;;;;;;
man language twChinese;admin;Traditional Chinese;اللغة الصينية التقليدية;Chinois traditionnel;;;;;;;繁體中文;繁體中文;
man language simple Chinese;admin;Simple Chinese;اللغة الصينية البسيطة;Chinois simplifié;;;;;;;简体中文;简体中文;
man language french;NTC-GUI TELUS-GUI admin;FR-Français;FR - الفرنسية;FR-Français;;;;;;;;;FR-Francais
setman TSintroduction;admin;This page allows you to import / export the system settings, or reset your Smart Hub to factory defaults.;هذه الصفحة تسمح لك بإستيراد/تصديرإعدادات ضوابط النظام أو إعادة تشغيل ال Smart Hub حسب إفتراضات المصنع;Cette page vous permet d’importer ou d’exporter les paramètres système ou de réinitialiser votre Terminal intelligent aux paramètres d’usine par défaut.;;;;;;;;;
setman warningMsg1;admin;Do you really want to reboot? NOTE - It may take some time to complete this process. Please re-login after 2 minutes later.;هل تريد حقا إعادة التشغيل? ملاحظة قد يحتاج الأمر إلى بعض الوقت لإتمام العملية. الرجاء إعادة تسجيل الدخول بعد دقيقتين لاحقا;Voulez-vous vraiment redémarrer ? REMARQUE- Cette procédure peut durer un certain temps. Veuillez vous reconnecter au bout de 2 minutes.;;;;;;;;;
setman warningMsg7;NTC-GUI TELUS-GUI admin;Reboot successful. Redirecting you to the Status page...;إعادة التشغيل تمت بنجاح، جاري الآن إعادة التوجيه إلى صفحة الحالة…;Le redémarrage a réussi, vous êtes maintenant renvoyé(e) à la page État...;;;;;;;;;正常に再起動しました、ステータスページの表示準備中…
opmode 3gipMode;admin;MBB IP Forwarding Mode;وضع إعادة توجيه ال IP ل MBB;Mode de réacheminement des messages IP en MBB ;;;;;;;;;
syscommand title;admin;System Command.;أمر النظام;Commande de système;;;;;;;;;
syscommand TSintroduction;admin;This page allows you to run system commands on your Smart Hub. Warning: This feature should not be used unless you are aware of what effect it will have.;هذه الصفحة تسح لك بتشغيل أوامر النظام على جهازل ال Smart Hub. تحذير: لا يجب إستعمال هذه الميزة ما لم تكن على دراية بتأثيرها.;Cette page vous permet d’exécuter les commandes système sur votre Terminal intelligent. Avertissement : Ne pas utiliser cette fonction à moins d’en connaître les effets.;;;;;;;;;
upload TSintroduction1;admin;This page allows you to upgrade your Smart Hub's firmware. Click on Browse to locate the firmware file to be used for the upgrade.;تسمح لك هذه الصفحة بتحديث برنامج التثبييت لجهازك ال . إضغط على تصفح لتحديد موقع برنامج التثبييت ليتم إستخدامه للتحديث.;Cette page vous permet de mettre le micrologiciel de votre Terminal intelligent à jour. Cliquez sur Parcourir pour localiser le fichier du micrologiciel à utiliser pour la mise à jour.;;;;;;;;;
upload TSsupport page;admin;A software update may be available for your Smart Hub 4G. To check if there is an update available, please visit the Smart Hub 4G <a href='http://www.support.netcommwireless.com/product/telus/3g38wv-ts' target='_blank'>support page</a>;;Visitez la <a href='http://www.support.netcommwireless.com/product/telus/3g38wv-ts' target='_blank'>page support</a> du Terminal intelligent 4G pour vérifier si une mise à jour est offerte.;;;;;;;;;
upload TSintroduction2;admin;Please note that it takes approximately 4 minutes for the firmware to be upgraded. DO NOT turn off your Smart Hub during the firmware upgrade process.;الرجاء ملاحظة أن تحديث برنامج التثبييت تستغرق دقائق تقريبا. لا تقم بإطفاء جهازك ال Smart Hub خلال عملية تحديث برنامج التثبييت.;Veuillez noter qu’il faut environ 4 minutes pour la mise à jour du micrologiciel. NE PAS éteindre votre Terminal intelligent au cours du processus de mise à jour du micrologiciel.;;;;;;;;;
upload firmware force upgrade via mem;admin;Force upgrade firmware via mem ;فرض تحديث برنامج التثبييت من خلال ال mem;Forcer la mise à niveau du microprogramme via mem;;;;;;;;;
upload warningMsg6;admin;UPGRADING FIRMWARE - DO NOT POWER OFF. The router is currently upgrading. Please wait until the LEDs stop blinking. When the LEDs stop blinking, open the router configuration page again;تحديث برنامج التثبييت ء لا تقم بإطفاء الجهاز. جهاز الراوتر يقوم حاليا بالتحديث. الرجاء الإنتظار حتى تتوقف أزرار الإضاءة عن الوميض. عندما تتوقف ازرار الإضاءة عن الوميض، قم بفتح صفحة إعداد الراوتر مرة أخرى.;MISE ﾀ NIVEAU MICROPROGRAMME EN COURS – NE PAS METTRE HORS TENSION. Le routeur est en cours de mise à niveau. Veuillez patienter jusqu’à ce que les DEL cessent de clignoter. Lorsque les DEL cessent de clignoter, rouvrez la page de configuration du routeur;;;;;;;;;
dhcp TSintroduction;admin internet;This page allows you to view the current DHCP clients that have obtained IP leases from your Smart Hub.;هذه الصفحة تسمح لك بعرض عملاء ال DHCP الحاليين اللذين حصلوا على تأجير عناوين IP من جهازك ال Smart Hub;Cette page vous permet d’afficher les clients DHCP courants qui ont obtenu des baux d’adresse IP de votre Terminal intelligent.;;;;;;;;;
port filter warningMsg1;firewall;Sorry, the maximum number of rules has been reached. Please delete a rule before adding a new one.;تم تجاوز الحد الأقصى لعدد القواعد.;Le nombre maximum de règles a été dépassé.;;;;;;;;;
port filter warningMsg10;firewall;The requested rule is invalid as it already exists. Please try again.;نفس القاعدة موجود.;La même règle existe.;;;;;;;;;指定されたルールは既に存在して居るので無効です、やり直して下さい
port filter warningMsg11;firewall;The drop policy will block access to the router unless You have configured the filter rules. Please configure your filter rules before setting up this policy.;وسياسة الإفلات منع الوصول إلى جهاز التوجيه ما لم يكن هناك يتم تكوين قواعد التصفية. الرجاء التأكد من أن يتم تكوين قواعد الترشيح الخاصة بك قبل إعداد هذه السياسة.;Politique de baisse permet de bloquer l'accès au routeur à moins que des règles de filtrage configurées. S'il vous plaît assurez-vous que vos règles de filtrage sont configurés avant la mise en place de cette politique.;;;;;;;;;本Dropポリシは、フィルタ　ルールの設定が無い場合、本機へのアクセスをブロックします。本ポリシの設定に先立ち、フィルタ　ルールの設定を行って下さい。
port filter warningMsg12; ;Subnet suffix must have a value between 0 and 32;;;;;;;;;;;サブネット　サフィックスの値は、1～32の範囲で無ければ成りません、（空白=32）
port filter warningMsg13; ;Too many filter rules are added. Maximum number of filter rules :  ;;;;;;;;;;;
sysfw warningMsg1;firewall;Invalid Port Number.;رقم منفذ غير صالح;Numéro de port invalide.;;;;;;;;;
sysfw TSintroduction;firewall;This page allows you to configure remote access and improve the security of your Smart Hub.;هذه الصفحة تسمح لك بتحسين الأمن جهازك ال Smart Hub من خلال جدار الحماية SPI وإعدادات الدخول عن بعد;Cette page vous permet de configurer l’accès à distance et d’améliorer la sécurité de votre Terminal intelligent.;;;;;;;;;
band warningMsg4;internet;Sorry, the network scan was unsuccessful. Please try again.;مسح الشبكة غير ناجح، الرجاء المحاولة مرة أخرى;Le balayage du réseau n’a pas réussi, veuillez réessayer.;;;;;;;;;ネットワーク スキャンが失敗しました、やり直して下さい
band warningMsg6_1;internet;The current SIM status is ; حالة بطاقة ال الحالية هي;L'état actuel du SIM est &quot;;;;;;;;;
band warningMsg6_2;internet;Please make sure the SIM status is OK and try again.;يرجى التأكد من أن حالة بطاقة SIM جيدة وعاود المحاولة مرة أخرى.;Veuillez vous assurer que l'état du SIM est correct puis réessayez.;;;;;;;;;
sim try warning; ;Please make sure the SIM status is okay and try again;يرجى التأكد من أن حالة بطاقة SIM جيدة وعاود المحاولة مرة أخرى.;Veuillez vous assurer que l'état du SIM est correct puis réessayez.;;;;;;;;;SIMステータスが正常であることを確認して、再度お試し下さい
sim removed warning; ;The SIM is not inserted, please insert a SIM card and make sure the SIM status is okay, then try again.;;;;;;;;;;;SIMが挿入されていません、SIMカードを挿入しSIMステータスが正常であることを確認して、再度お試し下さい
sim detecting warning; ;The device is detecting SIM card. Please wait for a while, and make sure the SIM status is okay then try again.;;;;;;;;;;;SIMカード検出中、しばらくお待ち下さい、その後、SIMステータスが正常である事を確認して、再度お試し下さい
sim pinlock warning; ;The SIM is PIN locked, please unlock the SIM card and make sure the SIM status is okay, then try again.;;;;;;;;;;;このSIMはPINロックされています、SIMカードのロックを外し、SIMステータスが正常であることを確認して、再度お試し下さい
sim puklock warning; ;The SIM is PUK locked, please unlock the SIM card and make sure the SIM status is okay, then try again.;;;;;;;;;;;このSIMはPUKロックされています、SIMカードのロックを外し、SIMステータスが正常であることを確認して、再度お試し下さい
band warningMsg7;internet;"Unable to scan network operators whilst MBB data session is enabled, please set the MBB Operation Mode to ""OFF"" and try again.";غير قادر على مسح مشغلي الشبكة بينما دورة بيانات ال MBB مفعلة، الرجاء قم بضبط وضع تشغيل ال MBB على;"Impossible de balayer les opérateurs de réseaux MBB tandis que la session de données est activée, veuillez régler le Mode de fonctionnement MBB à ""OFF"" (ARRÊT) et réessayez.";;;;;;;;;
band warningMsg8;internet;A data connection profile is currently enabled. Changing the band frequency will disconnect  and disable the data connection (though it can be manually reconnected afterwards). Are you sure you want to continue?;;;;;;;;;;;
band warningMsg9;internet;Changing band frequency also changes the current operator selection mode from manual to automatic (though it can be manually reconfigured afterwards). Are you sure you want to continue?;Changement de fréquence de la bande sera aussi changer le mode actuel de sélection des opérateurs de Manuel à Automatique (bien qu'il puisse être de nouveau manuellement configuré la suite). Voulez-vous procéder?;;;;;;;;;;バンド周波数の変更は、利用事業者（オペレータ）選択を手動から自動に変えます。（後で、手動で戻す事が可能です）、　続けますか？
band warningMsg10;internet;Changing the band frequency will require a network rescan afterwards. Are you sure you want to continue?;وسوف تحتاج إلى إعادة تفحص الشبكات بعد تغيير تردد الموجات. هل ترغب في المتابعة؟;Vous aurez besoin de re-scanner le réseau après avoir changé de bande de fréquence. Voulez-vous procéder?;;;;;;;;;
scan;internet;Scan;مسح;Scan;;;;;;;;;
scanning; ;Scanning;;;;;;;;;;;
scanningWait; ;Scanning, please wait...;;;;;;;;;;;検索中、お待ち下さい・・・
band settings;internet;Band settings;إعدادات النطاق;Paramètres de bande;;;;;;;;;バンド設定
lan TSintroduction;internet;This page allows you to configure the LAN IP address, subnet mask and DHCP settings of your Smart Hub.;هذه الصفحة تسمح لك بإعداد عنوان ال IP للشبكة المحلية LAN، قناع الشبكة الفرعية وإعدادات ال DHCP لجهازك ال Smart Hub;Cette page vous permet de configurer l’adresse IP du réseau local, les paramètres du masque de sous-réseau et du DHCP de votre Terminal intelligent.;;;;;;;;;
lan warningMsg2;internet;It should be a [0-9] number.\nIn field: ;يجب أن تكون رقم بين [0-9];Ce doit être un numéro [0-9].\nDans le champ :;;;;;;;;;
routing TSIntroduction;internet;This page allows you to configure static and dynamic routing rules for your Smart Hub.;هذه الصفحة تسمح لك بإعداد قواعد توجيه ثابت و ديناميكي لجهازك ل Smart Hub;Cette page vous permet de configurer les règles de routage statique et dynamique pour votre Terminal intelligent.;;;;;;;;;
vpn title;internet;VPN Passthrough;عبور VPN;Fonction d'intercommunication VPN ;;;;;;;;;
vpn introduction;internet;VPN passthrough configurations including: L2TP, IPSec, and PPTP passthrough.;إعدادات عبور ال VPN تتضمن: L2TP, IPSec, وعبور PPTP;Les configurations de la fonction d'intercommunication VPN incluent : fonction d'intercommunication L2TP, IPSec et PPTP.;;;;;;;;;
vpn pass thru;internet;VPN Pass Through;عبور VPN;Fonction d'intercommunication VPN ;;;;;;;;;
warningMsg15;internet NTC-GUI TELUS-GUI;You entered the wrong PIN;كلمة المرور غير مطابقة!;Mot de passe mal accordé !;;;;;;;;;
warningMsg16; ;You entered the wrong PUK;;;;;;;;;;;
warningMsg17; ;Your SIM is PUK locked now. Please enter the PUK code to unlock. You have;;;;;;;;;;;SIMはPUKロックされています、PUKコードを入力してロック解除して下さい
remaining; ;remaining;;;;;;;;;;;
SIMwarningMsg1;spec_vdf;You have entered the wrong PIN. Please check and try again. ;تحتاج إلى إدخال رمز PIN مرة أخرى حيث أن أخر رمز تم إدخاله كان غير صحيح.;Vous devez saisir le code NIP encore. Le dernier code saisi était incorrect.;;;;;;;;;PINコードが違います、確認して、やり直して下さい
wwan warningMsg6;internet;Unknown SIM status detected - ;تم اكتشاف حالة SIM غير معروفة;État de carte SIM inconnue détecté -;;;;;;;;;
hubName;main;TELUS Smart Hub;جهاز TELUS Smart Hub ;Terminal intelligent TELUS;;;;;;;;;
site survey;main;Site survey;مسح الموقع;Étude de site ;;;;;;;;;
opmode mode g;main;Gateway:;بوابة;Passerelle;;;;;;;;;
opmode mode e intro;main;The wireless interface is treated as WAN port, and the ethernet ports are LAN ports.;الواجهة اللاسلكية تعامل كمنفذ WAN، ومنافذ الإيثرنت منافذ شبكة محلية LAN;L’interface sans fil est traitée comme un port du réseau étendu et les ports Ethernet sont des ports du réseau local.;;;;;;;;;
opmode mode a intro;main;The wireless interface is treated as WAN port, and the wireless ap interface and the ethernet ports are LAN ports.;واجهة apcli اللاسلكية تعامل كمنفذ WAN، وواجهة ap اللاسلكية ومنافذ الإيثرنت منافذ شبكة محلية LAN;L’interface apcli sans fil est traitée comme un port du réseau étendu et l’interface ap et les ports Ethernet sont des ports du réseau local.;;;;;;;;;
routing warningMsg1;internet;The destination has wrong format.;تنسيق الوجهة خاطئ;Le format de la destination est invalide.;;;;;;;;;
adv TSintroduction;wireless;This page allows you to modify the advanced wireless settings  for your Smart Hub. These settings should not be changed unless you are aware of what effect they will have.;هذه الصفحة تسمح لك بتعديل الإعدادات اللاسلكية المتقدمة لجهازك ال Smart Hub. لا يجب تغيير هذه الإعدادات ما لم تكن على دراية بتأثيرها.;Cette page vous permet de modifier les paramètres avancés de la connexion sans fil pour votre Terminal intelligent. Ne pas modifier ces paramètres à moins d’en connaître les effets.;;;;;;;;;
secure warningMsg19;wireless;Please input wep key;الرجاء إدخال مفتاح WEP المستخدم;Veuillez entrer  la clé wep.;;;;;;;;;
secure ssid TSintroduction;wireless;This page allows you to configure the wireless security for your Smart Hub. Setting up sufficient wireless security can prevent unauthorised access to your wireless network.;هذه الصفحة تسمح بإعداد الأمن اللاسلكي لجهازك ال Smart Hub. عمل ضبط كافي للحماية اللاسلكية يمكنه منع الدخول الغير مسموح به لشبكتك اللاسلكية.;Cette page vous permet de configurer la sécurité de la connexion sans fil pour votre Terminal intelligent. La configuration adéquate de la sécurité de la connexion sans fil peut empêcher les accès non autorisés à votre réseau sans fil.;;;;;;;;;
ipSetup;main internet;IP Setup;IP الإعداد;Configuration IP;;;;;;;;;
ipChangMsg;internet;The IP address is changed, you may need to update the client IP address.;يتم تغيير عنوان IP ، قد تحتاج إلى تحديث عنوان IP العميل.;L'adresse IP est modifiée, vous pouvez avoir besoin de mettre à jour l'adresse IP du client.;;;;;;;;;
secure radius idle timeout;wireless;Idle Timeout;مهلة الخمول;Délai d’attente avant l’inactivité;;;;;;;;;
stalist TSintroduction;wireless;This page allows you to view a list of the wireless clients that are currently connected with your Smart Hub.;تسمح لك هذه الصفحة بعرض قائمة عملاء الاتصال اللاسلكي المتصلين حاليا بجهازك ال Smart Hub.;Cette page vous permet d’afficher une liste des clients sans fil qui sont actuellement connectés à votre Terminal intelligent.;;;;;;;;;
wps TSintroduction;wireless;This page allows you to configure WPS (WiFi Protected Setup) for your Smart Hub. WPS provides a simple method to establish a secure wireless connection between wireless clients and your Smart Hub. Once WPS is enabled, you will only need to press a button (Push Button Mode), or enter a PIN (PIN Mode) on both the wireless client and your Smart Hub to enable a secure connection between the two.;هذه الصفحة تسمح لك بإعداد ال WPS (الإعداد الآمن لل WiFi) لجهازك ال Smart Hub. ال WPS توفر وسيلة بسيطة لتأسيس إتصال لاسلكي آمن بين العملاء اللاسلكيين وجهازك ال Smart Hub.  عند تفعيل ال WPS، ستحتاج فقط إلى ضغط زر (وضع ضغط الزر)، أو أن تدخل رمز PIN (وضع ال PIN) لكل من العميل اللاسلكي وجهازك ال Smart Hub لتفعيل إتصال لاسلكي آمن بين الإثنين;Cette page vous permet de configurer WPS (configuration protégée WiFi) pour votre Terminal intelligent. WPS offre une méthode simple pour établir une connexion sécurisée sans fil entre les clients sans fil et votre Terminal intelligent. Une fois que WPS est activé, vous n'aurez qu'à appuyer sur un bouton (Mode Bouton poussoir), ou entrer un code NIP (Mode NIP) à la fois sur le client sans fil et votre Terminal intelligent pour permettre une connexion sécurisée entre les deux.;;;;;;;;;
man ntp indiana east;NTC-GUI TELUS-GUI admin;(GMT-05:00) Indiana East, Colombia;(GMT-05:00) انديانا الشرق;(GMT-05:00) Est de l’Indiana, Colombie;;;;;;;;;
man ntp atlantic;NTC-GUI TELUS-GUI admin;(GMT-04:00) Atlantic Time, Brazil West;(GMT-04:00) التوقيت الأطلسي;(GMT-04:00) Heure de l’Atlantique, Ouest du Brésil;;;;;;;;;
man ntp newfoundland;NTC-GUI TELUS-GUI admin;(GMT-03:30) Newfoundland;(GMT-03:30) نيو فاوند لاند;(GMT-03:30) Terre-Neuve;;;;;;;;;
